State,County,Civilian labor force 2007,Employed 2007,Civilian labor force 2007,Employed 2007,Unemployed 2007,Unemployment rate 2007,Civilian labor force 2008,Employed 2008,Unemployed 2008,Unemployment rate 2008,Civilian labor force 2009,Employed 2009,Unemployed 2009,Unemployment rate 2009,Civilian abor force 2010,Employed 2010,Unemployed 2010,Unemployment rate 2010,Civilian labor force 2011,Employed 2011,Unemployed 2011,Unemploymen trate 2011,Civilian labor force 2012,Employed 2012,Unemployed 2012,Unemployment rate 2012,Civilian labor force 2013,Employed 2013,Unemployed 2013,Unemployment rate 2013,Civilian labor force 2014,Employed 2014,Unemployed 2014,Unemployment rate 2014,Civilian labor force 2015,Employed 2015,Unemployed 2015,Unemployment rate 2015,Civilian labor force 2016,Employed 2016,Unemployed 2016,Unemployment rate 2016,Civilian labor force 2017,Employed 2017,Unemployed 2017,Unemployment rate 2017,Civilian labor force 2018,Employed 2018,Unemployed 2018,Unemployment rate 2018,Median Household Income 2017,Income % of State Total 2017
CO,"Gunnison County, CO",9522.00,9254.00,9522.00,9254.00,268.00,2.80,9503.00,9162.00,341.00,3.60,9427.00,8915.00,512.00,5.40,10087.00,9439.00,648.00,6.40,9935.00,9336.00,599.00,6.00,9832.00,9244.00,588.00,6.00,9635.00,9108.00,527.00,5.50,9677.00,9286.00,391.00,4.00,9802.00,9514.00,288.00,2.90,10146.00,9917.00,229.00,2.30,10702.00,10493.00,209.00,2.00,11012.00,10727.00,285.00,2.60,"$53,480",77.40
CO,"Hinsdale County, CO",608.00,591.00,608.00,591.00,17.00,2.80,643.00,622.00,21.00,3.30,665.00,644.00,21.00,3.20,470.00,443.00,27.00,5.70,473.00,449.00,24.00,5.10,436.00,415.00,21.00,4.80,432.00,412.00,20.00,4.60,434.00,418.00,16.00,3.70,441.00,427.00,14.00,3.20,448.00,437.00,11.00,2.50,473.00,463.00,10.00,2.10,459.00,447.00,12.00,2.60,"$59,157",85.60
CO,"Huerfano County, CO",3353.00,3194.00,3353.00,3194.00,159.00,4.70,3435.00,3215.00,220.00,6.40,3489.00,3185.00,304.00,8.70,2705.00,2327.00,378.00,14.00,2659.00,2298.00,361.00,13.60,2634.00,2259.00,375.00,14.20,2541.00,2193.00,348.00,13.70,2412.00,2171.00,241.00,10.00,2372.00,2190.00,182.00,7.70,2503.00,2347.00,156.00,6.20,2553.00,2411.00,142.00,5.60,2619.00,2448.00,171.00,6.50,"$37,424",54.10
CO,"Jackson County, CO",1103.00,1075.00,1103.00,1075.00,28.00,2.50,1082.00,1047.00,35.00,3.20,1293.00,1240.00,53.00,4.10,919.00,838.00,81.00,8.80,893.00,839.00,54.00,6.00,826.00,783.00,43.00,5.20,793.00,755.00,38.00,4.80,835.00,805.00,30.00,3.60,835.00,804.00,31.00,3.70,892.00,869.00,23.00,2.60,962.00,945.00,17.00,1.80,1029.00,1002.00,27.00,2.60,"$48,785",70.60
CO,"Kiowa County, CO",911.00,887.00,911.00,887.00,24.00,2.60,849.00,818.00,31.00,3.70,1001.00,959.00,42.00,4.20,779.00,729.00,50.00,6.40,836.00,794.00,42.00,5.00,817.00,780.00,37.00,4.50,764.00,730.00,34.00,4.50,752.00,727.00,25.00,3.30,792.00,771.00,21.00,2.70,847.00,830.00,17.00,2.00,925.00,909.00,16.00,1.70,963.00,946.00,17.00,1.80,"$43,845",63.40
CO,"Kit Carson County, CO",4475.00,4355.00,4475.00,4355.00,120.00,2.70,4348.00,4202.00,146.00,3.40,4860.00,4670.00,190.00,3.90,4389.00,4190.00,199.00,4.50,4265.00,4065.00,200.00,4.70,4229.00,4041.00,188.00,4.40,4081.00,3921.00,160.00,3.90,4313.00,4182.00,131.00,3.00,4325.00,4222.00,103.00,2.40,4543.00,4448.00,95.00,2.10,4385.00,4313.00,72.00,1.60,4487.00,4396.00,91.00,2.00,"$44,028",63.70
CO,"Lake County, CO",4028.00,3884.00,4028.00,3884.00,144.00,3.60,4101.00,3913.00,188.00,4.60,3904.00,3570.00,334.00,8.60,4372.00,3891.00,481.00,11.00,4377.00,3936.00,441.00,10.10,4523.00,4133.00,390.00,8.60,4440.00,4120.00,320.00,7.20,4507.00,4298.00,209.00,4.60,4572.00,4396.00,176.00,3.80,4622.00,4492.00,130.00,2.80,4717.00,4620.00,97.00,2.10,4894.00,4765.00,129.00,2.60,"$49,799",72.10
CO,"La Plata County, CO",31007.00,30143.00,31007.00,30143.00,864.00,2.80,31427.00,30294.00,1133.00,3.60,31317.00,29632.00,1685.00,5.40,29874.00,27744.00,2130.00,7.10,29476.00,27408.00,2068.00,7.00,29663.00,27693.00,1970.00,6.60,29559.00,27873.00,1686.00,5.70,29925.00,28665.00,1260.00,4.20,29891.00,28866.00,1025.00,3.40,31017.00,30141.00,876.00,2.80,31452.00,30714.00,738.00,2.30,32091.00,31120.00,971.00,3.00,"$61,974",89.70
CO,"Las Animas County, CO",8695.00,8381.00,8695.00,8381.00,314.00,3.60,8795.00,8399.00,396.00,4.50,8618.00,7917.00,701.00,8.10,7195.00,6432.00,763.00,10.60,6977.00,6208.00,769.00,11.00,6963.00,6127.00,836.00,12.00,6734.00,5983.00,751.00,11.20,6427.00,5943.00,484.00,7.50,6135.00,5792.00,343.00,5.60,6192.00,5884.00,308.00,5.00,6264.00,6022.00,242.00,3.90,6572.00,6261.00,311.00,4.70,"$39,552",57.20
CO,"Lincoln County, CO",3014.00,2922.00,3014.00,2922.00,92.00,3.10,2890.00,2783.00,107.00,3.70,3108.00,2980.00,128.00,4.10,2153.00,2024.00,129.00,6.00,2193.00,2054.00,139.00,6.30,2157.00,2017.00,140.00,6.50,2105.00,1982.00,123.00,5.80,2135.00,2048.00,87.00,4.10,2171.00,2098.00,73.00,3.40,2282.00,2224.00,58.00,2.50,2380.00,2333.00,47.00,2.00,2494.00,2433.00,61.00,2.40,"$45,308",65.60
CO,"Logan County, CO",11321.00,10975.00,11321.00,10975.00,346.00,3.10,11200.00,10767.00,433.00,3.90,12031.00,11434.00,597.00,5.00,11261.00,10551.00,710.00,6.30,11081.00,10388.00,693.00,6.30,11067.00,10405.00,662.00,6.00,10798.00,10245.00,553.00,5.10,10999.00,10582.00,417.00,3.80,10944.00,10612.00,332.00,3.00,11026.00,10707.00,319.00,2.90,11114.00,10864.00,250.00,2.20,11287.00,10958.00,329.00,2.90,"$50,246",72.70
CO,"Mineral County, CO",471.00,451.00,471.00,451.00,20.00,4.20,475.00,449.00,26.00,5.50,479.00,447.00,32.00,6.70,416.00,387.00,29.00,7.00,426.00,403.00,23.00,5.40,444.00,420.00,24.00,5.40,425.00,400.00,25.00,5.90,424.00,403.00,21.00,5.00,445.00,429.00,16.00,3.60,464.00,454.00,10.00,2.20,466.00,457.00,9.00,1.90,507.00,494.00,13.00,2.60,"$55,906",80.90
CO,"Moffat County, CO",8521.00,8260.00,8521.00,8260.00,261.00,3.10,8726.00,8394.00,332.00,3.80,9077.00,8513.00,564.00,6.20,8078.00,7277.00,801.00,9.90,7861.00,7130.00,731.00,9.30,7743.00,7104.00,639.00,8.30,7535.00,7013.00,522.00,6.90,7309.00,6888.00,421.00,5.80,7114.00,6792.00,322.00,4.50,7189.00,6908.00,281.00,3.90,7332.00,7098.00,234.00,3.20,7579.00,7302.00,277.00,3.70,"$57,680",83.50
CO,"Montezuma County, CO",13172.00,12664.00,13172.00,12664.00,508.00,3.90,12902.00,12228.00,674.00,5.20,13270.00,12297.00,973.00,7.30,13057.00,11867.00,1190.00,9.10,12986.00,11850.00,1136.00,8.70,12917.00,11813.00,1104.00,8.50,12713.00,11730.00,983.00,7.70,12660.00,11889.00,771.00,6.10,12352.00,11653.00,699.00,5.70,12735.00,12112.00,623.00,4.90,12856.00,12367.00,489.00,3.80,13338.00,12706.00,632.00,4.70,"$48,692",70.50
CO,"Montrose County, CO",20744.00,20003.00,20744.00,20003.00,741.00,3.60,20767.00,19728.00,1039.00,5.00,21101.00,19391.00,1710.00,8.10,20624.00,18360.00,2264.00,11.00,20017.00,17805.00,2212.00,11.10,19836.00,17787.00,2049.00,10.30,19297.00,17474.00,1823.00,9.40,19274.00,17967.00,1307.00,6.80,19348.00,18376.00,972.00,5.00,20086.00,19268.00,818.00,4.10,20827.00,20167.00,660.00,3.20,21941.00,21136.00,805.00,3.70,"$51,031",73.80
CO,"Morgan County, CO",14221.00,13746.00,14221.00,13746.00,475.00,3.30,14083.00,13485.00,598.00,4.20,15084.00,14272.00,812.00,5.40,14436.00,13423.00,1013.00,7.00,15043.00,14040.00,1003.00,6.70,14981.00,13967.00,1014.00,6.80,14659.00,13702.00,957.00,6.50,14811.00,14131.00,680.00,4.60,14685.00,14130.00,555.00,3.80,15054.00,14542.00,512.00,3.40,15592.00,15229.00,363.00,2.30,16473.00,15990.00,483.00,2.90,"$50,453",73.00
CO,"Otero County, CO",8813.00,8374.00,8813.00,8374.00,439.00,5.00,8705.00,8189.00,516.00,5.90,9306.00,8670.00,636.00,6.80,8489.00,7710.00,779.00,9.20,8473.00,7629.00,844.00,10.00,8401.00,7538.00,863.00,10.30,8207.00,7399.00,808.00,9.80,7971.00,7363.00,608.00,7.60,7891.00,7435.00,456.00,5.80,8121.00,7745.00,376.00,4.60,8277.00,7947.00,330.00,4.00,8635.00,8205.00,430.00,5.00,"$37,907",54.80
CO,"Ouray County, CO",3051.00,2962.00,3051.00,2962.00,89.00,2.90,3017.00,2906.00,111.00,3.70,2902.00,2739.00,163.00,5.60,2151.00,1940.00,211.00,9.80,2023.00,1817.00,206.00,10.20,2085.00,1890.00,195.00,9.40,2128.00,1966.00,162.00,7.60,2134.00,2011.00,123.00,5.80,2157.00,2064.00,93.00,4.30,2168.00,2088.00,80.00,3.70,2264.00,2201.00,63.00,2.80,2400.00,2316.00,84.00,3.50,"$63,627",92.10
CO,"Park County, CO",9602.00,9256.00,9602.00,9256.00,346.00,3.60,9678.00,9217.00,461.00,4.80,9336.00,8687.00,649.00,7.00,9641.00,8856.00,785.00,8.10,9406.00,8683.00,723.00,7.70,9302.00,8662.00,640.00,6.90,9252.00,8691.00,561.00,6.10,9358.00,8928.00,430.00,4.60,9379.00,9058.00,321.00,3.40,9844.00,9574.00,270.00,2.70,10473.00,10235.00,238.00,2.30,10859.00,10545.00,314.00,2.90,"$69,884",101.10
CO,"Phillips County, CO",2420.00,2354.00,2420.00,2354.00,66.00,2.70,2238.00,2162.00,76.00,3.40,2607.00,2514.00,93.00,3.60,2197.00,2081.00,116.00,5.30,2154.00,2039.00,115.00,5.30,2141.00,2031.00,110.00,5.10,2124.00,2026.00,98.00,4.60,2253.00,2179.00,74.00,3.30,2360.00,2304.00,56.00,2.40,2474.00,2426.00,48.00,1.90,2576.00,2536.00,40.00,1.60,2693.00,2642.00,51.00,1.90,"$52,096",75.40
CO,"Pitkin County, CO",11271.00,10967.00,11271.00,10967.00,304.00,2.70,11570.00,11188.00,382.00,3.30,11141.00,10471.00,670.00,6.00,10879.00,10000.00,879.00,8.10,10926.00,10072.00,854.00,7.80,10911.00,10126.00,785.00,7.20,10782.00,10084.00,698.00,6.50,11028.00,10491.00,537.00,4.90,10749.00,10336.00,413.00,3.80,10747.00,10390.00,357.00,3.30,10995.00,10670.00,325.00,3.00,11363.00,10926.00,437.00,3.80,"$78,596",113.70
CO,"Prowers County, CO",6790.00,6556.00,6790.00,6556.00,234.00,3.40,6529.00,6236.00,293.00,4.50,7008.00,6601.00,407.00,5.80,6166.00,5736.00,430.00,7.00,6242.00,5829.00,413.00,6.60,6097.00,5671.00,426.00,7.00,5857.00,5489.00,368.00,6.30,5729.00,5460.00,269.00,4.70,5819.00,5585.00,234.00,4.00,6010.00,5819.00,191.00,3.20,6202.00,6046.00,156.00,2.50,6387.00,6175.00,212.00,3.30,"$41,238",59.70
CO,"Rio Blanco County, CO",5344.00,5234.00,5344.00,5234.00,110.00,2.10,5114.00,4981.00,133.00,2.60,4659.00,4432.00,227.00,4.90,3146.00,2866.00,280.00,8.90,3119.00,2874.00,245.00,7.90,3091.00,2833.00,258.00,8.30,3072.00,2831.00,241.00,7.80,2941.00,2766.00,175.00,6.00,2809.00,2662.00,147.00,5.20,2740.00,2603.00,137.00,5.00,2786.00,2681.00,105.00,3.80,2854.00,2727.00,127.00,4.40,"$58,336",84.40
CO,"Rio Grande County, CO",6543.00,6284.00,6543.00,6284.00,259.00,4.00,6423.00,6060.00,363.00,5.70,6788.00,6375.00,413.00,6.10,5209.00,4655.00,554.00,10.60,5152.00,4519.00,633.00,12.30,5104.00,4481.00,623.00,12.20,4878.00,4313.00,565.00,11.60,4821.00,4378.00,443.00,9.20,4871.00,4565.00,306.00,6.30,5161.00,4909.00,252.00,4.90,5374.00,5150.00,224.00,4.20,5643.00,5370.00,273.00,4.80,"$41,693",60.30
CO,"Routt County, CO",15692.00,15285.00,15692.00,15285.00,407.00,2.60,15589.00,15060.00,529.00,3.40,15238.00,14246.00,992.00,6.50,14541.00,13192.00,1349.00,9.30,14288.00,13111.00,1177.00,8.20,14373.00,13338.00,1035.00,7.20,14494.00,13632.00,862.00,5.90,14388.00,13789.00,599.00,4.20,14295.00,13833.00,462.00,3.20,14923.00,14538.00,385.00,2.60,15567.00,15211.00,356.00,2.30,16301.00,15861.00,440.00,2.70,"$76,505",110.70
CO,"Saguache County, CO",3158.00,2993.00,3158.00,2993.00,165.00,5.20,3040.00,2821.00,219.00,7.20,3422.00,3147.00,275.00,8.00,3066.00,2755.00,311.00,10.10,3015.00,2679.00,336.00,11.10,3055.00,2716.00,339.00,11.10,2953.00,2620.00,333.00,11.30,3005.00,2743.00,262.00,8.70,3082.00,2893.00,189.00,6.10,3230.00,3075.00,155.00,4.80,3438.00,3292.00,146.00,4.20,3638.00,3469.00,169.00,4.60,"$36,558",52.90
CO,"San Juan County, CO",563.00,540.00,563.00,540.00,23.00,4.10,568.00,536.00,32.00,5.60,556.00,515.00,41.00,7.40,505.00,442.00,63.00,12.50,522.00,461.00,61.00,11.70,535.00,482.00,53.00,9.90,477.00,436.00,41.00,8.60,475.00,450.00,25.00,5.30,471.00,451.00,20.00,4.20,480.00,463.00,17.00,3.50,528.00,517.00,11.00,2.10,519.00,503.00,16.00,3.10,"$46,985",68.00
CO,"San Miguel County, CO",5652.00,5477.00,5652.00,5477.00,175.00,3.10,5519.00,5305.00,214.00,3.90,5220.00,4911.00,309.00,5.90,4892.00,4508.00,384.00,7.80,4885.00,4492.00,393.00,8.00,4856.00,4475.00,381.00,7.80,4777.00,4459.00,318.00,6.70,4923.00,4689.00,234.00,4.80,5078.00,4887.00,191.00,3.80,5190.00,5024.00,166.00,3.20,5349.00,5202.00,147.00,2.70,5520.00,5326.00,194.00,3.50,"$70,418",101.90
CO,"Sedgwick County, CO",1826.00,1786.00,1826.00,1786.00,40.00,2.20,1533.00,1484.00,49.00,3.20,1719.00,1655.00,64.00,3.70,1101.00,1019.00,82.00,7.40,1096.00,1009.00,87.00,7.90,1119.00,1041.00,78.00,7.00,1090.00,1022.00,68.00,6.20,1086.00,1036.00,50.00,4.60,1148.00,1109.00,39.00,3.40,1179.00,1152.00,27.00,2.30,1192.00,1167.00,25.00,2.10,1253.00,1221.00,32.00,2.60,"$39,880",57.70
CO,"Summit County, CO",17129.00,16663.00,17129.00,16663.00,466.00,2.70,16996.00,16359.00,637.00,3.70,16641.00,15631.00,1010.00,6.10,19126.00,17837.00,1289.00,6.70,19255.00,18003.00,1252.00,6.50,19325.00,18158.00,1167.00,6.00,19350.00,18379.00,971.00,5.00,20084.00,19408.00,676.00,3.40,20583.00,20066.00,517.00,2.50,21150.00,20719.00,431.00,2.00,21862.00,21470.00,392.00,1.80,22315.00,21819.00,496.00,2.20,"$75,420",109.10
CO,"Teller County, CO",12415.00,11936.00,12415.00,11936.00,479.00,3.90,12279.00,11604.00,675.00,5.50,12099.00,11186.00,913.00,7.50,12354.00,11198.00,1156.00,9.40,12154.00,11024.00,1130.00,9.30,11912.00,10912.00,1000.00,8.40,11712.00,10798.00,914.00,7.80,11585.00,10907.00,678.00,5.90,11416.00,10910.00,506.00,4.40,11743.00,11315.00,428.00,3.60,12254.00,11876.00,378.00,3.10,12651.00,12182.00,469.00,3.70,"$68,078",98.50
CO,"Washington County, CO",2880.00,2803.00,2880.00,2803.00,77.00,2.70,2656.00,2570.00,86.00,3.20,2984.00,2865.00,119.00,4.00,2590.00,2437.00,153.00,5.90,2589.00,2448.00,141.00,5.40,2636.00,2507.00,129.00,4.90,2549.00,2432.00,117.00,4.60,2647.00,2563.00,84.00,3.20,2787.00,2716.00,71.00,2.50,2923.00,2861.00,62.00,2.10,3031.00,2974.00,57.00,1.90,3225.00,3147.00,78.00,2.40,"$48,325",69.90
CO,"Yuma County, CO",6734.00,6591.00,6734.00,6591.00,143.00,2.10,6505.00,6331.00,174.00,2.70,7112.00,6877.00,235.00,3.30,4928.00,4651.00,277.00,5.60,4962.00,4701.00,261.00,5.30,4884.00,4633.00,251.00,5.10,4736.00,4511.00,225.00,4.80,4959.00,4795.00,164.00,3.30,5137.00,5003.00,134.00,2.60,5444.00,5330.00,114.00,2.10,5682.00,5594.00,88.00,1.50,6142.00,6017.00,125.00,2.00,"$48,893",70.70
FL,"Baker County, FL",11913.00,11477.00,11913.00,11477.00,436.00,3.70,12245.00,11531.00,714.00,5.80,12111.00,10887.00,1224.00,10.10,11552.00,10246.00,1306.00,11.30,11506.00,10333.00,1173.00,10.20,11347.00,10374.00,973.00,8.60,11270.00,10438.00,832.00,7.40,11197.00,10480.00,717.00,6.40,11156.00,10532.00,624.00,5.60,11409.00,10853.00,556.00,4.90,11687.00,11199.00,488.00,4.20,11869.00,11467.00,402.00,3.40,"$51,856",98.60
FL,"Bradford County, FL",12341.00,11917.00,12341.00,11917.00,424.00,3.40,12475.00,11856.00,619.00,5.00,12473.00,11467.00,1006.00,8.10,11587.00,10444.00,1143.00,9.90,11507.00,10462.00,1045.00,9.10,11152.00,10307.00,845.00,7.60,10985.00,10293.00,692.00,6.30,10742.00,10136.00,606.00,5.60,10730.00,10210.00,520.00,4.80,10852.00,10390.00,462.00,4.30,11286.00,10875.00,411.00,3.60,11304.00,10933.00,371.00,3.30,"$44,997",85.60
FL,"Calhoun County, FL",5550.00,5345.00,5550.00,5345.00,205.00,3.70,5757.00,5439.00,318.00,5.50,5917.00,5413.00,504.00,8.50,5314.00,4777.00,537.00,10.10,5242.00,4698.00,544.00,10.40,5093.00,4627.00,466.00,9.10,4916.00,4530.00,386.00,7.90,4941.00,4598.00,343.00,6.90,4935.00,4632.00,303.00,6.10,4982.00,4696.00,286.00,5.70,4987.00,4745.00,242.00,4.90,5082.00,4873.00,209.00,4.10,"$37,612",71.50
FL,"DeSoto County, FL",14328.00,13620.00,14328.00,13620.00,708.00,4.90,14778.00,13758.00,1020.00,6.90,14967.00,13458.00,1509.00,10.10,13081.00,11481.00,1600.00,12.20,13884.00,12447.00,1437.00,10.40,12899.00,11616.00,1283.00,9.90,13133.00,12056.00,1077.00,8.20,13158.00,12216.00,942.00,7.20,13359.00,12581.00,778.00,5.80,13459.00,12751.00,708.00,5.30,14088.00,13460.00,628.00,4.50,13955.00,13419.00,536.00,3.80,"$37,342",71.00
FL,"Dixie County, FL",5535.00,5290.00,5535.00,5290.00,245.00,4.40,5496.00,5080.00,416.00,7.60,5582.00,4944.00,638.00,11.40,5749.00,5008.00,741.00,12.90,5754.00,5047.00,707.00,12.30,5809.00,5215.00,594.00,10.20,5846.00,5348.00,498.00,8.50,5550.00,5139.00,411.00,7.40,5578.00,5230.00,348.00,6.20,5646.00,5339.00,307.00,5.40,5766.00,5492.00,274.00,4.80,5773.00,5529.00,244.00,4.20,"$38,355",72.90
FL,"Franklin County, FL",4922.00,4763.00,4922.00,4763.00,159.00,3.20,4817.00,4582.00,235.00,4.90,4919.00,4555.00,364.00,7.40,4936.00,4543.00,393.00,8.00,5051.00,4665.00,386.00,7.60,5051.00,4724.00,327.00,6.50,4992.00,4716.00,276.00,5.50,4940.00,4662.00,278.00,5.60,4766.00,4541.00,225.00,4.70,4732.00,4527.00,205.00,4.30,4714.00,4544.00,170.00,3.60,4840.00,4673.00,167.00,3.50,"$40,158",76.40
FL,"Gadsden County, FL",20770.00,19853.00,20770.00,19853.00,917.00,4.40,21106.00,19783.00,1323.00,6.30,21270.00,19147.00,2123.00,10.00,20080.00,17714.00,2366.00,11.80,19614.00,17342.00,2272.00,11.60,18900.00,16952.00,1948.00,10.30,18866.00,17138.00,1728.00,9.20,18794.00,17246.00,1548.00,8.20,18185.00,16873.00,1312.00,7.20,18192.00,17053.00,1139.00,6.30,18215.00,17217.00,998.00,5.50,18500.00,17654.00,846.00,4.60,"$38,084",72.40
FL,"Gilchrist County, FL",7613.00,7318.00,7613.00,7318.00,295.00,3.90,7828.00,7373.00,455.00,5.80,7712.00,6993.00,719.00,9.30,6874.00,6132.00,742.00,10.80,6857.00,6151.00,706.00,10.30,6717.00,6108.00,609.00,9.10,6623.00,6103.00,520.00,7.90,6550.00,6109.00,441.00,6.70,6490.00,6121.00,369.00,5.70,6671.00,6338.00,333.00,5.00,6841.00,6538.00,303.00,4.40,6869.00,6611.00,258.00,3.80,"$42,880",81.50
FL,"Glades County, FL",4789.00,4559.00,4789.00,4559.00,230.00,4.80,4675.00,4345.00,330.00,7.10,4843.00,4394.00,449.00,9.30,5544.00,5017.00,527.00,9.50,5292.00,4788.00,504.00,9.50,5701.00,5262.00,439.00,7.70,5468.00,5062.00,406.00,7.40,4916.00,4538.00,378.00,7.70,4704.00,4367.00,337.00,7.20,4714.00,4420.00,294.00,6.20,4966.00,4700.00,266.00,5.40,5206.00,4998.00,208.00,4.00,"$42,865",81.50
FL,"Gulf County, FL",6269.00,6027.00,6269.00,6027.00,242.00,3.90,6368.00,5957.00,411.00,6.50,6361.00,5753.00,608.00,9.60,6232.00,5591.00,641.00,10.30,6241.00,5638.00,603.00,9.70,6091.00,5598.00,493.00,8.10,6162.00,5746.00,416.00,6.80,6118.00,5746.00,372.00,6.10,5987.00,5671.00,316.00,5.30,5961.00,5684.00,277.00,4.60,6031.00,5796.00,235.00,3.90,6122.00,5852.00,270.00,4.40,"$44,135",83.90
FL,"Hamilton County, FL",4627.00,4411.00,4627.00,4411.00,216.00,4.70,4791.00,4441.00,350.00,7.30,4848.00,4306.00,542.00,11.20,4808.00,4258.00,550.00,11.40,4898.00,4389.00,509.00,10.40,5175.00,4717.00,458.00,8.90,4633.00,4236.00,397.00,8.60,4601.00,4251.00,350.00,7.60,4516.00,4222.00,294.00,6.50,4653.00,4390.00,263.00,5.70,4326.00,4117.00,209.00,4.80,4296.00,4114.00,182.00,4.20,"$35,262",67.10
FL,"Hardee County, FL",11858.00,11313.00,11858.00,11313.00,545.00,4.60,11758.00,10952.00,806.00,6.90,11962.00,10701.00,1261.00,10.50,11764.00,10410.00,1354.00,11.50,11916.00,10718.00,1198.00,10.10,11844.00,10792.00,1052.00,8.90,11052.00,10141.00,911.00,8.20,10334.00,9540.00,794.00,7.70,10077.00,9371.00,706.00,7.00,9247.00,8633.00,614.00,6.60,8991.00,8464.00,527.00,5.90,8789.00,8322.00,467.00,5.30,"$40,056",76.20
FL,"Holmes County, FL",8769.00,8455.00,8769.00,8455.00,314.00,3.60,8999.00,8531.00,468.00,5.20,8884.00,8173.00,711.00,8.00,7190.00,6445.00,745.00,10.40,7195.00,6488.00,707.00,9.80,7166.00,6534.00,632.00,8.80,7012.00,6461.00,551.00,7.90,6856.00,6377.00,479.00,7.00,6682.00,6270.00,412.00,6.20,6706.00,6344.00,362.00,5.40,6911.00,6583.00,328.00,4.70,6983.00,6706.00,277.00,4.00,"$40,657",77.30
FL,"Jackson County, FL",21538.00,20679.00,21538.00,20679.00,859.00,4.00,22155.00,20973.00,1182.00,5.30,21958.00,20328.00,1630.00,7.40,18938.00,17214.00,1724.00,9.10,18260.00,16531.00,1729.00,9.50,18067.00,16502.00,1565.00,8.70,17779.00,16438.00,1341.00,7.50,17468.00,16297.00,1171.00,6.70,17287.00,16265.00,1022.00,5.90,17324.00,16421.00,903.00,5.20,17355.00,16573.00,782.00,4.50,17542.00,16846.00,696.00,4.00,"$41,524",79.00
FL,"Jefferson County, FL",6749.00,6519.00,6749.00,6519.00,230.00,3.40,6844.00,6491.00,353.00,5.20,6578.00,6042.00,536.00,8.10,6042.00,5443.00,599.00,9.90,5918.00,5323.00,595.00,10.10,5505.00,4996.00,509.00,9.20,5469.00,5045.00,424.00,7.80,5492.00,5129.00,363.00,6.60,5367.00,5046.00,321.00,6.00,5382.00,5099.00,283.00,5.30,5514.00,5274.00,240.00,4.40,5582.00,5373.00,209.00,3.70,"$48,163",91.60
FL,"Lafayette County, FL",2921.00,2833.00,2921.00,2833.00,88.00,3.00,2978.00,2839.00,139.00,4.70,3074.00,2844.00,230.00,7.50,3404.00,3156.00,248.00,7.30,3636.00,3409.00,227.00,6.20,3485.00,3286.00,199.00,5.70,3501.00,3319.00,182.00,5.20,3351.00,3179.00,172.00,5.10,3201.00,3053.00,148.00,4.60,2965.00,2836.00,129.00,4.40,2949.00,2840.00,109.00,3.70,2847.00,2756.00,91.00,3.20,"$41,549",79.00
FL,"Levy County, FL",16793.00,16072.00,16793.00,16072.00,721.00,4.30,16891.00,15666.00,1225.00,7.30,16742.00,14824.00,1918.00,11.50,17327.00,15262.00,2065.00,11.90,16974.00,15125.00,1849.00,10.90,16732.00,15176.00,1556.00,9.30,16335.00,15001.00,1334.00,8.20,16283.00,15167.00,1116.00,6.90,16423.00,15471.00,952.00,5.80,16633.00,15774.00,859.00,5.20,16827.00,16077.00,750.00,4.50,16926.00,16277.00,649.00,3.80,"$37,272",70.90
FL,"Liberty County, FL",3667.00,3563.00,3667.00,3563.00,104.00,2.80,3851.00,3683.00,168.00,4.40,3867.00,3644.00,223.00,5.80,2933.00,2676.00,257.00,8.80,2862.00,2600.00,262.00,9.20,2747.00,2529.00,218.00,7.90,2844.00,2654.00,190.00,6.70,2749.00,2566.00,183.00,6.70,2635.00,2479.00,156.00,5.90,2635.00,2500.00,135.00,5.10,2629.00,2509.00,120.00,4.60,2643.00,2543.00,100.00,3.80,"$41,308",78.60
FL,"Madison County, FL",6954.00,6526.00,6954.00,6526.00,428.00,6.20,7034.00,6530.00,504.00,7.20,7140.00,6378.00,762.00,10.70,7946.00,7148.00,798.00,10.00,8078.00,7303.00,775.00,9.60,7999.00,7313.00,686.00,8.60,7910.00,7295.00,615.00,7.80,7730.00,7179.00,551.00,7.10,7465.00,7005.00,460.00,6.20,7319.00,6935.00,384.00,5.20,7392.00,7063.00,329.00,4.50,7348.00,7062.00,286.00,3.90,"$37,256",70.90
FL,"Okeechobee County, FL",17537.00,16608.00,17537.00,16608.00,929.00,5.30,17662.00,16183.00,1479.00,8.40,18199.00,16040.00,2159.00,11.90,18103.00,15816.00,2287.00,12.60,17822.00,15695.00,2127.00,11.90,18321.00,16495.00,1826.00,10.00,18103.00,16519.00,1584.00,8.70,17658.00,16358.00,1300.00,7.40,17224.00,16136.00,1088.00,6.30,18131.00,17201.00,930.00,5.10,18396.00,17591.00,805.00,4.40,17697.00,17037.00,660.00,3.70,"$42,524",80.90
FL,"Suwannee County, FL",17350.00,16707.00,17350.00,16707.00,643.00,3.70,17008.00,15979.00,1029.00,6.10,17450.00,15765.00,1685.00,9.70,19153.00,17267.00,1886.00,9.80,18870.00,17125.00,1745.00,9.20,18342.00,16871.00,1471.00,8.00,18077.00,16826.00,1251.00,6.90,17955.00,16823.00,1132.00,6.30,17910.00,16930.00,980.00,5.50,18169.00,17280.00,889.00,4.90,18397.00,17613.00,784.00,4.30,18286.00,17608.00,678.00,3.70,"$44,144",84.00
